Year ended 31 December 2021,KSh’ 000,KSh’ 000
At start of year,"1,779,162","816,014"
Additional provisions,"258,732","258,732"
Unused amounts reversed,"(1,358,427)","(395,279)"
Utilised during the year,-,-
At end of year,"679,467","679,467"
,"KSh’ 000
1,737,296
1,037,793
(843,827)
(152,100)",
,"1,779,162",
